국명(표준명·유통명),학명,영명,식물 특징,물주기 방법,유지 관리 포인트,과명,적절한 온도,적절한 광선,적절한 습도,효과,주의할 병충해,관리난이도,독성주의,Tip,문제 발생시,기타
쉐플레라 홍콩(홍콩야자),Schefflera arboricola 'Hong Kong',Dwarf Umbrella tree,관리가 쉬워 식물을 처음 기르는 사람에게 좋은 쉐플레라 '홍콩'은 1.2m 정도까지 자라며 줄기에 잎이 둥근모양으로 달린 것이 우산을 펼친 것처럼 보여 영명이 Dwarf Umbrella tree이다. 시중에 흔히 볼 수 있는 대엽쉐플레라(Schefflera actinophylla)는 2.5~3.1m까지 자라 위풍당당한 모습이 특징이다. 잎에 무늬가 있는 품종인 쉐플레라 '바리에가타'(Schefflera arboricola 'Variegata')도 있다. 수경재배로 키우면 가장 잘 자란다.,"토양 표면이 약간 말랐을 때 물을 충분하게 주고, 가을과 겨 울에는 물을 적게 준다. 자주 분무해 주는 것이 좋다.",너무 건조하면 해충이 발생하므로 분무를 자주해 해충이 생 기는 것을 방지할 수 있다.,두릅나무과,18~24℃ (최저 13℃),반음지,낮거나 보통,"포름알데히드·벤젠 등 다양한 공기오염물질 제거, 일산화탄소 제거, 음이온 발생, 상대습도 증가","응애, 진딧물, 깍지벌레",하,,음이온이 많이 나오고 증산율이 좋아 실내습도를 높이는 효과가 좋다. 겨울에 침실이나 거 실에 두면 상대습도를 높이고 새집증후군 완화에 효과적이다.,,
디지고테카,Schefflera elegantissima,Aralia False,"디지고데카는 짙고 어두운 녹색을 띠는 잎이 얼핏 보면 레 이스 같아 우아해 보이는 식물이다. 줄기는 곧게 자라고, 잎 자루는 길며, 손가락을 펼친 모양의 잎은 가장자리가 톱니모 양인 것이 특징이다.","화분을 포함하여 1m가 넘는 식물은 5~7일에 1회 정도 물을 주는 것이 좋다. 봄~가을까지는 토양 표면이 말랐을 때 충 분히 물을 주고, 겨울에는 화분흙이 대부분 말랐을 때 충분 히 물을 준다. 관수량이 부족하여 흙이 마르거나 공중습도가 낮으면 낙엽 이 지므로, 자주 분무해서 공중습도를 50~60% 유지한다. 겨 울철에는 약간 건조하게 관리한다.","배수가 잘되는 토양에 심는 것이 좋다. 너무 건조하면 응애, 깍지벌레가 발생하니 주의한다. 직사광선을 받으면 잎 끝이 타면서 오그라드니 주의한다.",두릅나무과,16~25℃ (최저 12℃),"반양지, 반음지",보통,"포름알데히드 제거, 이산화탄소 감소, 음이온 발생, 상대습도 증가","응애, 깍지벌레",중,,"디지고데카는 포름알데히드 제거량이 가장 우수하며, 음이온 발생량, 상대습도 증가량도 우 수하다. 직사광선이 들지 않는 거실에 배치하면 효과적이다.",,
셀라기넬라,Selaginella martensii 'Watsoniana',"Tree spikemoss, blue-green peacock fern","줄기와 잎이 향나무 가지와 비슷하고, 얼핏 보면 수태같이 보인다. 셀라기넬라속 식물은 상록성 양치식물로 1과 1속 식 물이다. 우리나라에도 자생하는 바위손, 부처손 등이 있고, 부처손은 제주도에, 바위손은 전국 산지의 바위 또는 암벽 등에 붙어 자란다.","봄~가을에는 물에 잠기지 않되 흙을 촉촉하게 유지하고, 겨 울에는 토양표면이 말랐을 때 충분히 물을 준다. 겨울에는 자주 분무하여 공중습도가 건조하지 않게 관리한다.",공기 중에 습기가 없을 때 식물체에서 수분이 빠져나가는 것을 막기 위해 스스로 잎을 안으로 말아서 식물체 면적을 줄인다. 자주 분무하여 공중습도가 건조하지 않도록 한다.,부처손과,16~25℃ (최저 13℃),양지,높은편,포름알데히드 제거,"응애, 깍지벌레",중,,셀라기넬라는 거실 등에 놓인 큰 화분의 지피식물로 활용하면 공기정화 및 습도 조절에 좋 다. 부드러운 질감을 살려 화훼장식에 사용할 수 있다.,,
스파티필룸,Spathiphyllum wallisii,Peace Lily,"흰색의 불염포와 짙은 녹색의 윤기 있는 잎이 조화로운 스파 티필룸 왈리시는 실내에서 열대분위기를 자아낸다. 불염포 사이로 도깨비방망이처럼 생긴 꽃이 피면 꽃가루가 날리므로 이것이 싫다면 꽃을 제거한다. 꽃을 제거해도 불염 포가 손상되지 않아 여러 주 동안 감상할 수 있다. 용토를 가리지 않고, 수경재배에도 잘 자란다.","봄~가을에는 토양 표면이 말랐을 때 충분히 물을 주고, 겨울 에는 화분흙이 대부분 말랐을 때 충분히 물을 준다.",직사광선을 피하고 잎에 자주 분무한다. 너무 건조하면 해충이 발생한다.,천남성과,16~24℃ (최저 12℃),반양지~반음지,보통,"포름알데히드·벤젠 등 다양한 공기오염물질 제거, 음이온 발생, 상대습도 증가","응애, 깍지벌레",하,식물 모든 부분,"내음성이 강해 실내 어디든지 키울 수 있지만 습도가 높은 주방, 창문이 있는 밝은 화장실 등에 배치하면 좋다.",,
싱고니움,Syngonium podophyllum,Goosefoot,"싱고니움은 대표적인 잎보기 식물로 연두색, 흰색, 분홍색 등의 잎 색과 줄무늬, 점무늬 등 다양하게 잎의 무늬를 지녔 다. 반그늘을 좋아하며 고온다습한 환경에서 잘 자라며 실 내 암모니아 제거능력 우수하다. 덩굴성이면서 줄기 마디에 서 기근이 나와 다른 물체에 붙어 자란다. 토양이나 수경재 배 모두 잘 자란다.",봄~여름에는 흙을 촉촉하게 유지하고(물에 잠기지 않도록 주의) 가을에는 토양 표면이 말랐을 때 충분히 물을 주며 겨 울에는 화분흙이 대부분 말랐을 때 충분히 물을 준다. 건조 하거나 과습일 때 잎이 노랗게 변한다.,"습도유지가 중요하므로 건조할 때 잎에 분무한다. 너무 건조 할 경우 응애, 깍지벌레 등이 발생한다. 순지르기를 하면 새순이 자란다.",천남성과,12~28℃ (최저 10℃),"반양지, 음지",높은편,"공기정화, 포름알데히드·암모니아 제거","응애, 깍지벌레, 온실가루이",하,수액에 독성 함유,싱고니움은 걸이화분으로 활용하는데 화분의 방향을 정기적으로 돌려주는 것이 고른 생장 을 위해 좋다.,,
마삭줄,Trachelospermum asiaticum,Asian jasmine,우리나라 남부지방에서 주로 자생하며 상록의 덩굴성 목본 이다. 꽃은 5~6월에 피고 향기가 좋다. 실내에서 기를 때는 햇빛이 많이 드는 곳에 두는 것이 좋다. 번식은 꺾꽂이나 줄기의 휘묻이로 한다.,겉흙이 말랐을 때 물을 충분히 준다.,다른 식물을 생장을 방해하는 덩굴을 제거한다.,협죽도과,15~25℃ (최저 5℃),반양지,보통,"포름알데히드·자일렌 제거, 상대습도 증가, 음이온 발생","응애, 깍지벌레",중,,음이온과 습도의 발생량이 좋아서 공부방에 두면 실내 습도 조절과 집중력 향상에 도움이 된다. 덩굴성이므로 공중걸이분에 심어 활용한다.,,구근식물 심기와 관리하기 tip이 있음.
오색마삭줄,Trachelospermum asiaticum 'Hatsuyuki',Asian jasmine,우리나라 남부지방에서 주로 자생하며 상록의 덩굴성 목본 이다. 꽃은 5~6월에 피고 향기가 좋다. 실내에서 기를 때는 햇빛이 많이 드는 곳에 두는 것이 좋다. 번식은 꺾꽂이나 줄기의 휘묻이로 한다.,겉흙이 말랐을 때 물을 충분히 준다.,다른 식물을 생장을 방해하는 덩굴을 제거한다.,협죽도과,15~25℃ (최저 5℃),반양지,보통,"포름알데히드·자일렌 제거, 상대습도 증가, 음이온 발생","응애, 깍지벌레",중,,음이온과 습도의 발생량이 좋아서 공부방에 두면 실내 습도 조절과 집중력 향상에 도움이 된다. 덩굴성이므로 공중걸이분에 심어 활용한다.,,구근식물 심기와 관리하기 tip이 있음.
황금마삭줄,Trachelospermum asiaticum 'Ogon Nishiki',Asian jasmine,우리나라 남부지방에서 주로 자생하며 상록의 덩굴성 목본 이다. 꽃은 5~6월에 피고 향기가 좋다. 실내에서 기를 때는 햇빛이 많이 드는 곳에 두는 것이 좋다. 번식은 꺾꽂이나 줄기의 휘묻이로 한다.,겉흙이 말랐을 때 물을 충분히 준다.,다른 식물을 생장을 방해하는 덩굴을 제거한다.,협죽도과,15~25℃ (최저 5℃),반양지,보통,"포름알데히드·자일렌 제거, 상대습도 증가, 음이온 발생","응애, 깍지벌레",중,,음이온과 습도의 발생량이 좋아서 공부방에 두면 실내 습도 조절과 집중력 향상에 도움이 된다. 덩굴성이므로 공중걸이분에 심어 활용한다.,,구근식물 심기와 관리하기 tip이 있음.
튤립,Tulipa gesneriana,Tulip,"터키가 원산지인 튤립은 가을에 심는 구근식물로 실내에서 는 겨울부터 봄까지 꽃봉오리와 꽃을 볼 수 있다. 꽃의 색상 이 하얀색, 노란색, 분홍색 등의 단색뿐 아니라 여러 색이 혼 합된 색까지 매우 다양하다. 약 100여종이 있으며 재배품종 은 셀 수 없을 정도로 많다. 꽃잎은 모양은 넓고 원형인 것, 깃털모양, 뾰족한 것 등 여러 가지 있다. 튤립이 국화인 네덜란드는 튤립구근을 생산하여 세계시장 에 공급한다. 실내에서 키우려면 저온처리를 하여 가식한 화분을 사는 것 이 좋으며, 저온 처리가 안 된 구근은 싹이 잘 트지 않는다.","토양은 촉촉한 상태로 유지하고, 절대 건조해지지 않도록 관리한다.","저온처리는 심기 전에 2~5℃에서 최소 2개월 이상 두어야 하는데, 구근을 신문지에 싸서 냉장 고 안에서 보관하거나, 화분을 겨울철에 난방이 되는 않는 베란다나 실외에 둔다.",백합과,13~21℃ (최저 5℃),양지~반양지,보통,포름알데히드·암모니아· 자일렌 제거,진딧물,중,,,,
멕시코소철,Zamia furfuracea,Cardbpardpalm,"멕시코소철은 상록교목으로 일반 소철과 달리 잎이 넓고 잎 표면에 갈색 잔털로 덮여있다. 원래 고온건조한 곳에서 자라 기 때문에 수분증발을 방지하고 곰팡이나 병원균으로부터 보호하기 위해 줄기와 잎이 이 잔털로 덮여있는 것이므로 닦거나 손상시키지 않도록 주의한다. 햇빛이 잘 들고 통풍 이 잘 되는 곳에 두고, 배수가 잘되는 비옥한 토양에 심는다. 일반 소철에 비해 물을 좋아한다. 열매는 식용하면 안 된다.","봄~가을까지 토양 표면이 말랐을 때 충분히 물을 주고, 겨울 에는 화분흙이 대부분 말랐을 때 충분히 물을 준다. 물이 부족하면 잎이 누렇게 변하면서 떨어진다.","햇빛을 충분히 많이 받을 수 있고, 통풍이 잘 되는 곳에서 관 리한다. 잎에 털이 있으므로 잎을 닦으면 안 된다.",소철과,15~25℃ (최저 10℃),양지~반양지,보통,"포름알데히드 제거, 공기정화","응애, 깍지벌레",중,,"빛이 충분한 양지에서 잘 자라므로, 실내에서 기를 때는 햇빛이 많이 드는 거실이나 베란 다에 둔다. 겨울철에도 최저 10℃이상 유지해야 되므로 베란다가 추울 경우 실내로 옮긴다.",,
